# 钢加工
# 格式: 股票代码.交易所  # 名称

000778.SZ  # 新兴铸管
002132.SZ  # 恒星科技
002135.SZ  # 东南网架
002443.SZ  # 金洲管道
002445.SZ  # 中南文化
002478.SZ  # 常宝股份
002541.SZ  # 鸿路钢构
002593.SZ  # 日上集团
002722.SZ  # 物产金轮
002743.SZ  # 富煌钢构
002843.SZ  # 泰嘉股份
300881.SZ  # 盛德鑫泰
600477.SH  # 杭萧钢构
600496.SH  # 精工钢构
600558.SH  # 大西洋
600992.SH  # 贵绳股份
601096.SH  # 宏盛华源
601686.SH  # 友发集团
603028.SH  # 赛福天
603278.SH  # 大业股份
603878.SH  # 武进不锈
605158.SH  # 华达新材
