# 旅游景点
# 格式: 股票代码.交易所  # 名称

000430.SZ  # *ST张股
000558.SZ  # 天府文旅
000888.SZ  # 峨眉山A
000978.SZ  # 桂林旅游
002033.SZ  # 丽江股份
002059.SZ  # 云南旅游
002627.SZ  # 三峡旅游
300144.SZ  # 宋城演艺
600054.SH  # 黄山旅游
600138.SH  # 中青旅
600576.SH  # 祥源文旅
600593.SH  # 大连圣亚
600706.SH  # 曲江文旅
600749.SH  # 西藏旅游
603099.SH  # 长白山
603136.SH  # 天目湖
603199.SH  # 九华旅游
