# 水泥
# 格式: 股票代码.交易所  # 名称

000401.SZ  # 金隅冀东
000672.SZ  # 上峰水泥
000789.SZ  # 万年青
000877.SZ  # 天山股份
000935.SZ  # 四川双马
002205.SZ  # 国统股份
002233.SZ  # 塔牌集团
002302.SZ  # 西部建设
002596.SZ  # 海南瑞泽
002671.SZ  # 龙泉股份
002742.SZ  # *ST三圣
003037.SZ  # 三和管桩
600326.SH  # 西藏天路
600425.SH  # 青松建化
600449.SH  # 宁夏建材
600585.SH  # 海螺水泥
600668.SH  # 尖峰集团
600678.SH  # 四川金顶
600801.SH  # 华新建材
600802.SH  # 福建水泥
601992.SH  # 金隅集团
603616.SH  # 韩建河山
605122.SH  # 四方新材
