# 白酒
# 格式: 股票代码.交易所  # 名称

000568.SZ  # 泸州老窖
000596.SZ  # 古井贡酒
000799.SZ  # 酒鬼酒
000858.SZ  # 五粮液
000860.SZ  # 顺鑫农业
000995.SZ  # 皇台酒业
002304.SZ  # 洋河股份
002646.SZ  # 天佑德酒
600197.SH  # 伊力特
600199.SH  # 金种子酒
600519.SH  # 贵州茅台
600559.SH  # 老白干酒
600696.SH  # *ST岩石
600702.SH  # 舍得酒业
600779.SH  # 水井坊
600809.SH  # 山西汾酒
603198.SH  # 迎驾贡酒
603369.SH  # 今世缘
603589.SH  # 口子窖
603919.SH  # 金徽酒
