# 路桥
# 格式: 股票代码.交易所  # 名称

000429.SZ  # 粤高速A
000548.SZ  # 湖南投资
000755.SZ  # 山西高速
000828.SZ  # 东莞控股
000900.SZ  # 现代投资
001965.SZ  # 招商公路
600012.SH  # 皖通高速
600020.SH  # 中原高速
600033.SH  # 福建高速
600035.SH  # 楚天高速
600106.SH  # 重庆路桥
600269.SH  # 赣粤高速
600350.SH  # 山东高速
600368.SH  # 五洲交通
600377.SH  # 宁沪高速
600548.SH  # 深高速
601107.SH  # 四川成渝
601188.SH  # 龙江交通
601518.SH  # 吉林高速
