# 日用化工
# 格式: 股票代码.交易所  # 名称

001328.SZ  # 登康口腔
002094.SZ  # 青岛金王
002637.SZ  # 赞宇科技
300740.SZ  # 水羊股份
300856.SZ  # 科思股份
300955.SZ  # 嘉亨家化
300957.SZ  # 贝泰妮
301108.SZ  # 洁雅股份
301283.SZ  # 聚胶股份
301371.SZ  # 敷尔佳
600223.SH  # 福瑞达
600249.SH  # 两面针
600315.SH  # 上海家化
603059.SH  # 倍加洁
603193.SH  # 润本股份
603605.SH  # 珀莱雅
603630.SH  # 拉芳家化
603983.SH  # 丸美生物
