# 机床制造
# 格式: 股票代码.交易所  # 名称

000410.SZ  # 沈阳机床
000837.SZ  # 秦川机床
002122.SZ  # ST汇洲
002248.SZ  # 华东数控
002520.SZ  # 日发精机
002559.SZ  # 亚威股份
002685.SZ  # 华东重机
002903.SZ  # 宇环数控
002943.SZ  # 宇晶股份
003025.SZ  # 思进智能
300083.SZ  # 创世纪
300161.SZ  # 华中数控
300441.SZ  # 鲍斯股份
300809.SZ  # 华辰装备
301603.SZ  # 乔锋智能
601882.SH  # 海天精工
603088.SH  # 宁波精达
688305.SH  # 科德数控
688558.SH  # 国盛智科
688577.SH  # 浙海德曼
688648.SH  # 中邮科技
688697.SH  # 纽威数控
