# 综合类
# 格式: 股票代码.交易所  # 名称

000025.SZ  # 特力A
000631.SZ  # 顺发恒能
000632.SZ  # 三木集团
000753.SZ  # 漳州发展
000820.SZ  # *ST节能
000833.SZ  # 粤桂股份
000839.SZ  # 国安股份
300051.SZ  # 琏升科技
600051.SH  # 宁波联合
600149.SH  # 廊坊发展
600620.SH  # 天宸股份
600673.SH  # 东阳光
600689.SH  # 上海三毛
600724.SH  # 宁波富达
600770.SH  # 综艺股份
600784.SH  # 鲁银投资
600805.SH  # 悦达投资
600881.SH  # 亚泰集团
