# 多元金融
# 格式: 股票代码.交易所  # 名称

000415.SZ  # 渤海租赁
000532.SZ  # 华金资本
000563.SZ  # 陕国投A
000567.SZ  # 海德股份
000617.SZ  # 中油资本
000958.SZ  # 电投产融
000987.SZ  # 越秀资本
001236.SZ  # 弘业期货
002423.SZ  # 中粮资本
002647.SZ  # *ST仁东
002961.SZ  # 瑞达期货
600053.SH  # 九鼎投资
600120.SH  # 浙江东方
600318.SH  # 新力金融
600390.SH  # 五矿资本
600517.SH  # 国网英大
600643.SH  # 爱建集团
600816.SH  # 建元信托
600830.SH  # 香溢融通
600901.SH  # 江苏金租
600927.SH  # 永安期货
603093.SH  # 南华期货
603123.SH  # 翠微股份
603300.SH  # 海南华铁
