# 铜
# 格式: 股票代码.交易所  # 名称

000630.SZ  # 铜陵有色
000737.SZ  # 北方铜业
000878.SZ  # 云南铜业
002171.SZ  # 楚江新材
002203.SZ  # 海亮股份
002295.SZ  # 精艺股份
300697.SZ  # 电工合金
600362.SH  # 江西铜业
600490.SH  # 鹏欣资源
601168.SH  # 西部矿业
601212.SH  # 白银有色
601609.SH  # 金田股份
601899.SH  # 紫金矿业
603124.SH  # 江南新材
603527.SH  # 众源新材
603979.SH  # 金诚信
688102.SH  # 斯瑞新材
688456.SH  # 有研粉材
