# 石油开采
# 格式: 股票代码.交易所  # 名称

000968.SZ  # 蓝焰控股
002207.SZ  # 准油股份
002554.SZ  # 惠博普
002629.SZ  # 仁智股份
002828.SZ  # 贝肯能源
300164.SZ  # 通源石油
300191.SZ  # 潜能恒信
300483.SZ  # 首华燃气
600256.SH  # 广汇能源
600339.SH  # 中油工程
600583.SH  # 海油工程
600759.SH  # 洲际油气
600777.SH  # *ST新潮
600871.SH  # 石化油服
600938.SH  # 中国海油
600968.SH  # 海油发展
601808.SH  # 中海油服
601857.SH  # 中国石油
603619.SH  # 中曼石油
603727.SH  # 博迈科
