# 电气设备
# 格式: 股票代码.交易所  # 名称

600885.SH  # 宏发股份
600973.SH  # 宝胜股份
601012.SH  # 隆基绿能
601026.SH  # 道生天合
601126.SH  # 四方股份
601179.SH  # 中国西电
601218.SH  # 吉鑫科技
601311.SH  # 骆驼股份
601567.SH  # 三星医疗
601615.SH  # 明阳智能
601616.SH  # 广电电气
601700.SH  # 风范股份
601727.SH  # 上海电气
601877.SH  # 正泰电器
601908.SH  # 京运通
603015.SH  # 弘讯科技
603016.SH  # 新宏泰
603031.SH  # 安孚科技
603050.SH  # 科林电气
603063.SH  # 禾望电气
603070.SH  # 万控智造
603097.SH  # 江苏华辰
603105.SH  # 芯能科技
603109.SH  # 神驰机电
603185.SH  # 弘元绿能
603191.SH  # 望变电气
603218.SH  # 日月股份
603312.SH  # 西典新能
603320.SH  # 迪贝电气
603333.SH  # 尚纬股份
603344.SH  # 星德胜
603350.SH  # 安乃达
603370.SH  # 华新精科
603381.SH  # 永臻股份
603398.SH  # *ST沐邦
603489.SH  # 八方股份
603507.SH  # 振江股份
603530.SH  # 神马电力
603577.SH  # 汇金通
603583.SH  # 捷昌驱动
603606.SH  # 东方电缆
603618.SH  # 杭电股份
603628.SH  # 清源股份
603679.SH  # 华体科技
603685.SH  # 晨丰科技
603728.SH  # 鸣志电器
603778.SH  # 国晟科技
603819.SH  # 神力股份
603829.SH  # 洛凯股份
603861.SH  # 白云电器
603897.SH  # 长城科技
603906.SH  # 龙蟠科技
603985.SH  # 恒润股份
603988.SH  # 中电电机
605066.SH  # 天正电气
605117.SH  # 德业股份
605196.SH  # 华通线缆
605222.SH  # 起帆电缆
605288.SH  # 凯迪股份
605378.SH  # 野马电池
688005.SH  # 容百科技
688006.SH  # 杭可科技
688032.SH  # 禾迈股份
688033.SH  # 天宜新材
688063.SH  # 派能科技
688148.SH  # 芳源股份
688155.SH  # 先惠技术
688184.SH  # ST帕瓦
688223.SH  # 晶科能源
688226.SH  # 威腾电气
688248.SH  # 南网科技
688275.SH  # 万润新能
688303.SH  # 大全能源
688330.SH  # 宏力达
688334.SH  # 西高院
688345.SH  # 博力威
