# 水力发电
# 格式: 股票代码.交易所  # 名称

000601.SZ  # 韶能股份
000722.SZ  # 湖南发展
000791.SZ  # 甘肃能源
000883.SZ  # 湖北能源
000993.SZ  # 闽东电力
002039.SZ  # 黔源电力
600025.SH  # 华能水电
600101.SH  # 明星电力
600116.SH  # 三峡水利
600236.SH  # 桂冠电力
600310.SH  # 广西能源
600452.SH  # 涪陵电力
600505.SH  # 西昌电力
600644.SH  # 乐山电力
600674.SH  # 川投能源
600868.SH  # 梅雁吉祥
600886.SH  # 国投电力
600900.SH  # 长江电力
600969.SH  # 郴电国际
600979.SH  # 广安爱众
600995.SH  # 南网储能
