# 玻璃
# 格式: 股票代码.交易所  # 名称

000012.SZ  # 南玻A
002080.SZ  # 中材科技
002201.SZ  # 九鼎新材
002623.SZ  # 亚玛顿
300196.SZ  # 长海股份
300395.SZ  # 菲利华
301188.SZ  # 力诺药包
301526.SZ  # 国际复材
600176.SH  # 中国巨石
600293.SH  # 三峡新材
600586.SH  # 金晶科技
600819.SH  # 耀皮玻璃
600876.SH  # 凯盛新能
601636.SH  # 旗滨集团
601865.SH  # 福莱特
603256.SH  # 宏和科技
603601.SH  # 再升科技
605006.SH  # 山东玻纤
