# 化工原料
# 格式: 股票代码.交易所  # 名称

688199.SH  # 久日新材
688267.SH  # 中触媒
688268.SH  # 华特气体
688269.SH  # 凯立新材
688350.SH  # 富淼科技
688353.SH  # 华盛锂电
688357.SH  # 建龙微纳
688359.SH  # 三孚新科
688386.SH  # 泛亚微透
688548.SH  # 广钢气体
688550.SH  # 瑞联新材
688585.SH  # 上纬新材
688602.SH  # 康鹏科技
688603.SH  # 天承科技
688625.SH  # 呈和科技
688669.SH  # 聚石化学
688690.SH  # 纳微科技
688708.SH  # 佳驰科技
688716.SH  # 中研股份
688758.SH  # 赛分科技
