# 饲料
# 格式: 股票代码.交易所  # 名称

000702.SZ  # 正虹科技
000876.SZ  # 新希望
001313.SZ  # 粤海饲料
001366.SZ  # 播恩集团
002100.SZ  # 天康生物
002311.SZ  # 海大集团
002385.SZ  # 大北农
002548.SZ  # 金新农
002567.SZ  # 唐人神
002696.SZ  # 百洋股份
002891.SZ  # 中宠股份
300673.SZ  # 佩蒂股份
301156.SZ  # 美农生物
301498.SZ  # 乖宝宠物
600299.SH  # 安迪苏
600866.SH  # 星湖科技
603151.SH  # 邦基科技
603363.SH  # 傲农生物
603609.SH  # 禾丰股份
603668.SH  # 天马科技
688156.SH  # 路德环境
