# 汽车整车
# 格式: 股票代码.交易所  # 名称

000550.SZ  # 江铃汽车
000572.SZ  # 海马汽车
000625.SZ  # 长安汽车
000800.SZ  # 一汽解放
000868.SZ  # 安凯客车
000951.SZ  # 中国重汽
000957.SZ  # 中通客车
002594.SZ  # 比亚迪
301039.SZ  # 中集车辆
600006.SH  # 东风股份
600066.SH  # 宇通客车
600099.SH  # 林海股份
600104.SH  # 上汽集团
600166.SH  # 福田汽车
600303.SH  # 曙光股份
600375.SH  # 汉马科技
600418.SH  # 江淮汽车
600686.SH  # 金龙汽车
600733.SH  # 北汽蓝谷
601127.SH  # 赛力斯
601238.SH  # 广汽集团
601633.SH  # 长城汽车
