# 种植业
# 格式: 股票代码.交易所  # 名称

000713.SZ  # 国投丰乐
000998.SZ  # 隆平高科
002041.SZ  # 登海种业
002772.SZ  # 众兴菌业
300087.SZ  # 荃银高科
300189.SZ  # 神农种业
300511.SZ  # 雪榕生物
300970.SZ  # 华绿生物
600108.SH  # 亚盛集团
600313.SH  # 农发种业
600354.SH  # 敦煌种业
600359.SH  # 新农开发
600371.SH  # 万向德农
600540.SH  # 新赛股份
600598.SH  # 北大荒
600883.SH  # 博闻科技
601952.SH  # 苏垦农发
