# 商贸代理
# 格式: 股票代码.交易所  # 名称

000151.SZ  # 中成股份
000626.SZ  # 远大控股
000701.SZ  # 厦门信达
002072.SZ  # 凯瑞德
002091.SZ  # 江苏国泰
002485.SZ  # ST雪发
600058.SH  # 五矿发展
600128.SH  # 苏豪弘业
600250.SH  # 南京商旅
600278.SH  # 东方创业
600287.SH  # 苏豪时尚
600608.SH  # *ST沪科
600710.SH  # 苏美达
600725.SH  # 云维股份
600753.SH  # *ST海钦
600981.SH  # 苏豪汇鸿
601061.SH  # 中信金属
