# 普钢
# 格式: 股票代码.交易所  # 名称

000655.SZ  # 金岭矿业
000709.SZ  # 河钢股份
000717.SZ  # 中南股份
000761.SZ  # 本钢板材
000898.SZ  # 鞍钢股份
000923.SZ  # 河钢资源
000932.SZ  # 华菱钢铁
000959.SZ  # 首钢股份
001203.SZ  # 大中矿业
002110.SZ  # 三钢闽光
600010.SH  # 包钢股份
600019.SH  # 宝钢股份
600022.SH  # 山东钢铁
600126.SH  # 杭钢股份
600231.SH  # 凌钢股份
600282.SH  # 南钢股份
600307.SH  # 酒钢宏兴
600382.SH  # 广东明珠
600569.SH  # 安阳钢铁
600581.SH  # 八一钢铁
600782.SH  # 新钢股份
600808.SH  # 马钢股份
601003.SH  # 柳钢股份
601005.SH  # 重庆钢铁
601121.SH  # 宝地矿业
601969.SH  # 海南矿业
